project_id,percentile50,percentile70,percentile90,percentile93,percentile94,percentile95,percentile96,percentile98,percentile99
SjyAihxKzS3ANee,8.508,14.983599999999992,47.858000000000011,59.200240000000058,64.035639999999972,69.742699999999957,76.796599999999955,98.003879999999953,119.98115999999999
Kmkv4qDRyL7TL/C,1.059,2.196,3.482,3.779,3.897,4.026,4.184,4.647,5.1351299999999984
A0NeWvUpv1N272n,0.066,0.103,0.186,0.22,0.235,0.255,0.281,0.363,0.447
O1lvynU9EAWaQHb,0.01,0.013999999999999999,0.018000000000000002,0.018600000000000002,0.0188,0.019,0.0192,0.0196,0.0198
8B+6W752NPW0xBS,0.541,1.3331999999999986,10.3862,11.617600000000001,12.378879999999995,12.796199999999999,13.773079999999995,17.28936,18.023999999999997
/2zgRK6IhcyAdCw,50.927,65.503,482.39400000000006,2023.8916000000015,2672.2293999999961,3399.954,3872.2763999999997,4269.057,4533.996
6VUZYvSWce47mgH,0.0,0.056,7.3810000000000064,14.550230000000006,17.46993999999999,20.818899999999978,26.938759999999991,51.734639999999985,83.146769999999862
Sjdqg/8ejtDNKvZ,0.999,1.9911999999999996,3.1118,3.6996400000000063,4.3187999999999995,4.5415999999999972,4.8743199999999973,5.6467999999999989,6.6299999999999981
IqOPnC9bDs78Z4B,0.0,0.029699999999999994,0.16890000000000002,2.2600900000000017,3.6677199999999894,4.9593999999999863,7.4215999999999926,11.821639999999999,14.364999999999995
RIoQMlBaRU15mlu,11.345,15.326,18.8,36.445900000000108,64.474599999999839,103.7964999999998,135.32919999999996,212.47299999999976,398.64479999999941
5QImNb89hehIN7B,781.17,1473.4138,1690.7938,1747.2877600000002,1760.3896,1775.2713,1804.13508,1916.0925599999998,1952.88906
EgcO/+QC62HwsAX,79.601,125.113,177.04420000000002,244.99816000000007,268.06908,299.03839999999968,325.45899999999995,381.84399999999988,430.7557599999999
0qXLJchsNiCKLQa,0.025,0.043999999999999991,0.066000000000000031,0.10860000000000007,0.12279999999999992,0.13699999999999993,0.15119999999999995,0.17959999999999995,0.19379999999999997
EKOr/6O2Rwoqvw4,0.754,5.4946999999999964,109.77700000000034,273.35131000000018,354.41395999999935,504.16824999999977,759.08555999999646,1968.1687599999993,2687.86824
BEa9Rcx4cWsZk1w,7.174,30.030599999999996,110.19280000000002,148.84288000000029,171.5095199999999,207.31049999999985,269.8828799999996,632.90543999999954,1281.0511599999993
lnsGlt7ZXOdV4Bf,12.551,18.166,40.21350000000001,49.854050000000022,55.478799999999943,64.80674999999998,81.688799999999944,204.90089999999978,803.52275
1lTFHGsT8rbTGo3,0.0095,0.17,0.975,1.3920500000000005,1.4944999999999995,1.8592499999999947,2.8623999999999987,3.517399999999999,4.3888499999999953
HxSfY6tyDkUSpmB,51.858500000000006,139.46269999999993,283.4903000000001,351.13413000000014,363.58044,380.32259999999997,393.16631999999993,459.71031999999997,493.5234999999999
wVxIb/lZ9CeWKoZ,8.731,15.603399999999993,25.774000000000004,27.73542,28.38004,30.419299999999939,32.407319999999991,38.403039999999955,47.9507
K2WrQsX03GEyaeA,0.09,1.5559999999999981,7.0608,8.95944,9.6856799999999872,11.081399999999991,13.017839999999985,21.048839999999988,25.610839999999996
jX9gUZXZOESfDOc,4.236,16.518399999999989,144.16240000000005,211.19994000000003,242.16803999999988,298.4575999999999,369.48135999999977,763.94567999999811,1138.1854699999997
uivz4/YctSHsM68,199.502,628.30929999999989,1595.4313000000002,2176.4988800000006,2435.1221399999959,2744.6045999999997,2962.5728799999993,3593.78654,4244.2854199999992
oY+2SfMCwLu+kWS,25.9625,84.803499999999929,1570.1060000000009,1902.154500000001,1984.9043999999994,2063.4329999999995,2150.3515999999995,2449.1016999999997,2837.4963
lgt98KxnHXzqj0n,0.099,0.23799999999999993,0.48800000000000004,0.6646000000000003,0.74719999999999964,1.112999999999992,1.627,4.1237999999999948,5.7528999999999995
L4C0Qf9Dq26zeB3,4.323,18.448199999999993,95.405200000000036,129.67680000000007,150.85196,166.26239999999976,217.37227999999934,467.53339999999952,883.486199999999
GJ6qacQOzhwLSpX,14.7925,20.3822,38.946500000000007,43.13686000000002,44.62976,47.39385,50.21736,59.55824,74.2380399999999
